seccion,longitud_esperada,longitud_real,porcentaje
prologo,1800,1973,109.61
introduccion,2400,2617,109.04
cronologia,1200,1245,103.75
capitulo-01,2550,2765,108.43
capitulo-02,2550,2615,102.55
capitulo-03,2550,2730,107.06
capitulo-04,2550,2580,101.18
capitulo-05,2550,2689,105.45
capitulo-06,2550,2631,103.18
capitulo-07,2550,2602,102.04
capitulo-08,2550,2962,116.16
capitulo-09,2550,3468,136.0
capitulo-10,2550,3234,126.82
capitulo-11,2550,3121,122.39
capitulo-12,2550,4601,180.43
capitulo-13,2550,3216,126.12
capitulo-14,2550,3117,122.24
capitulo-15,2550,2916,114.35
capitulo-16,2550,3114,122.12
capitulo-17,2550,2669,104.67
capitulo-18,2550,2686,105.33
capitulo-19,2550,2627,103.02
capitulo-20,2550,3141,123.18
epilogo,2000,2040,102.0
glosario,800,1087,135.88
dramatis-personae,800,995,124.37
fuentes,800,384,48.0
