seccion,longitud_esperada,longitud_real,porcentaje
prologo,1800,0,0
introduccion,2400,0,0
cronologia,1200,0,0
capitulo-01,2550,0,0
capitulo-02,2550,0,0
capitulo-03,2550,0,0
capitulo-04,2550,0,0
capitulo-05,2550,0,0
capitulo-06,2550,0,0
capitulo-07,2550,0,0
capitulo-08,2550,0,0
capitulo-09,2550,0,0
capitulo-10,2550,0,0
capitulo-11,2550,0,0
capitulo-12,2550,0,0
capitulo-13,2550,0,0
capitulo-14,2550,0,0
capitulo-15,2550,0,0
capitulo-16,2550,0,0
capitulo-17,2550,0,0
capitulo-18,2550,0,0
capitulo-19,2550,0,0
capitulo-20,2550,0,0
epilogo,2000,0,0
glosario,800,0,0
dramatis-personae,800,0,0
fuentes,800,0,0
